Country,Temp
Alabama,64.5875
Arizona,64.1
Arkansas,61.53333333333333
California,57.75714285714287
Colorado,46.8
Connecticut,50.833333333333336
Delaware,56.8
Florida,73.98571428571428
Georgia,65.0
Idaho,45.50000000000001
Illinois,52.75555555555556
Indiana,52.766666666666666
Iowa,47.72222222222222
Kansas,54.52222222222222
Kentucky,57.425
Louisiana,68.06666666666666
Maine,43.0
Maryland,55.9625
Massachusetts,49.26666666666667
Michigan,45.42
Minnesota,40.92222222222222
Mississippi,65.17
Missouri,55.98333333333333
Montana,41.48571428571428
Nebraska,48.975
Nevada,54.275
New,50.35217391304347
North,49.470588235294116
Ohio,52.269999999999996
Oklahoma,60.388888888888886
Oregon,48.68888888888889
Pennsylvania,50.14
Rhode,51.6
South,52.71875000000001
Tennessee,59.45
Texas,67.82
Utah,50.57142857142857
Vermont,43.46666666666667
Virginia,56.68333333333333
Washington,48.4
West,53.85
Wisconsin,43.74444444444444
Wyoming,41.65
